西语,义项,中文释义,图片文件名,配图提示词
hipótesis,1,假设；假说,images/hipotesis_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：实验室或研究场景中，白板上写着「假设—验证」流程图（无具体文字）
metodología,1,方法论；方法,images/metodologia_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：研究者在电脑前分析数据图表，旁边有访谈录音设备
análisis,1,分析,images/analisis_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：放大镜对准文章结构图：引言、论据与结论分层
discurso,1,话语；演说,images/discurso_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：讲台上演讲者面对观众，灯光聚焦但无政治标志
narrativa,1,叙事；叙事作品,images/narrativa_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：打开的小说与交错时间线丝带，象征叙事结构
metáfora,1,隐喻,images/metafora_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：沙漏与金币意象巧妙融合，表现隐喻概念
ironía,1,反讽；讽刺,images/ironia_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：笑脸面具下露出相反表情，轻喜剧教育插画风格
ambigüedad,1,歧义；含混,images/ambiguedad_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：一幅画面可看成两种图形的视错觉插画，象征歧义
coherencia,1,连贯；条理,images/coherencia_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：环环相扣的链条连接各段落方块，象征连贯
cohesión,1,衔接（语言学术语）,images/cohesion_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：句子块被彩色纽带轻轻连接，学术示意图风格
inferencia,1,推断；推理,images/inferencia_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：侦探式拼图：线索卡片指向一个结论灯泡
implicatura,1,会话含义（语用学）,images/implicatura_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：两人对话气泡：显说内容与虚线「言外之意」
pragmatismo,1,实用主义；（亦指）务实态度,images/pragmatismo_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：天平一端「理想蓝图」一端「可行方案」，指针偏向可行
ideología,1,意识形态,images/ideologia_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：报刊版面背后隐约的抽象色块层，象征观念影响（无政治符号）
hegemonía,1,霸权；主导地位,images/hegemonia_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：大型聚光灯照亮舞台中央，边缘人物处在阴影中
perspectiva,1,视角；观点,images/perspectiva_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：同一景物被两扇不同颜色的窗传来，象征视角差异
enfoque,1,切入角度；方法焦点,images/enfoque_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：镜头对焦清晰主体、背景虚化，隐喻「聚焦」
paradigma,1,范式,images/paradigma_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：旧齿轮切换为新齿轮的转换意象，象征范式更替
crítica,1,评论；批评,images/critica_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：书评家在咖啡馆批注打开的小说书页
reseña,1,书评；简介性评论,images/resena_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：书旁边贴着简短评星卡片（星标图标、无文字）
intertextualidad,1,互文性,images/intertextualidad_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：多本书页面彼此交叠、箭头连接，象征文本对话
alegoría,1,寓言；讽喻,images/alegoria_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：看似童话场景，细节却映射现实结构的多层插画
simbolismo,1,象征手法；象征主义,images/simbolismo_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：河流光影中隐现时钟与变形轮廓，诗意插画
estilo,1,风格；文风,images/estilo_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：羽毛笔在纸上留下鲜明个性的笔迹曲线
registro académico,1,学术语体,images/registro_academico_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：正式论文版式示意与研究图标，氛围沉静专业
terminología,1,术语,images/terminologia_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：术语卡片贴在白板上，配有简明图标注解
corpus,1,语料库,images/corpus_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：服务器与文档数据流汇入分析屏幕的抽象示意图
colocación,1,搭配（词汇学）,images/colocacion_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：两块磁石吸住两个固定搭配的词块
polisemia,1,多义性,images/polisemia_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：同一词根分出两条路径指向长凳与银行建筑
homónimo,1,同音/同形异义词,images/homonimo_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：两张词卡字形相同但画面意象完全不同：长凳与银行
etimología,1,词源,images/etimologia_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：词根树：古语树根生长出现代西语词叶
préstamo lingüístico,1,借词,images/prestamo_linguistico_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：单词跨越国境线「迁移」的轻快插画
variedad dialectal,1,方言变体,images/variedad_dialectal_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：地图上两个西语地区用不同色温区分，中间是对话示意
sociolingüística,1,社会语言学,images/sociolinguistica_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：城市人群剪影与语言波形交织的学术插画
bilingüismo,1,双语能力；双语现象,images/bilinguismo_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：大脑左右象征两种语言和谐共存的简洁插画
competencia,1,能力；（语言）能力,images/competencia_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：人物在不同社交场景切换得体表达的三联画
competencia,2,竞争；竞赛,images/competencia_2.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：两条赛道上的奔跑者象征市场竞争，非攻击性表现
innovación,1,创新,images/innovacion_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：灯泡与齿轮结合，周围是课堂协作小组
sostenibilidad,1,可持续性,images/sostenibilidad_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：绿色屋顶城市与自行车道、太阳能板的和谐景象
globalización,1,全球化,images/globalizacion_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：地球网格连接多个城市光点，柔和而非冷冰冰
migración,1,移民；迁徙,images/migracion_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：年轻人背着背包站在机场落地窗前望向新城市
identidad,1,身份；认同,images/identidad_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：人物剪影由多元文化纹理拼贴而成，温暖尊重
diversidad,1,多样性,images/diversidad_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：多彩丝带编织成一张网，象征多元共存
patrimonio,1,遗产（文化）,images/patrimonio_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：传统手工艺人向年轻人传授技艺的温馨场景
memoria histórica,1,历史记忆,images/memoria_historica_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：档案馆与老照片相册被当代青年翻阅（无具体政治人物）
ética,1,伦理,images/etica_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：天平与报纸结合的简洁象征，强调核实与责任
sesgo,1,偏见；偏差,images/sesgo_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：倾斜的天平与放大镜检视新闻剪报
fuente,1,来源；（也指）泉水,images/fuente_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：文献卡片指向原始数据报告的引用链条示意
fuente,2,泉水；喷泉,images/fuente_2.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：阳光下的城市广场喷泉，周围有石凳与鸽子
tesis,1,论点；（亦指）学位论文,images/tesis_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：论文封面与核心论断卡片被钉在研究板上
tesis,2,学位论文,images/tesis_2.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：答辩教室里候选人答辩、委员提问的正式场景
abstract,1,摘要（学术论文）,images/abstract_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：论文首页顶部的摘要区块被高亮框出
conclusión,1,结论,images/conclusion_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：通往山顶旗帜的小路，象征得出结论
matiz,1,细微差别；语感差别,images/matiz_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：色阶色卡显示细微色差，隐喻词语的语感差别
precisión,1,精确；精准,images/precision_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：游标卡尺般精确对齐词义天平的插画
concisión,1,简洁,images/concision_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：冗长段落被精炼成短句的前后对比示意
redundancia,1,冗余；重复累赘,images/redundancia_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：堆叠重复方块被删减编辑，留下精简结构
eufemismo,1,委婉语,images/eufemismo_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：尖锐词语被软布轻轻裹住的象征插画，温和教育风
tabú lingüístico,1,语言禁忌,images/tabu_linguistico_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：嘴唇前竖起安静手势，背景词语淡出，非恐吓表现
